subj_id,qual_col,RT,measure,row,sentID
R_2PpvbvcItA8LcqM,Timing_1(8),8.034,Timing_1,8,150
R_25WvorTEPc7DuHX,Timing_1(8),7.599,Timing_1,8,150
R_ZJCIt5D6m80Wim5,Timing_1(8),3.661,Timing_1,8,150
R_6gQpeEEoAOw1CNz,Timing_1(8),3.131,Timing_1,8,150
R_UcJP3naTdDXJEDn,Timing_1(8),11.883,Timing_1,8,150
R_21pKbw8vqrjpJ4Q,Timing_1(8),5.573,Timing_1,8,150
R_1HiWKvIl546M44z,Timing_1(8),3.143,Timing_1,8,150
R_BFIiDPrnKiKOhkB,Timing_1(8),3.349,Timing_1,8,150
R_232AZeZQOdbRSAK,Timing_1(8),3.184,Timing_1,8,150
R_1odMwWpdALe3A7c,Timing_1(8),2.673,Timing_1,8,150
R_3CMZ1prTdwstnIi,Timing_1(8),2.626,Timing_1,8,150
R_2SDkvNUYWKzQ9b4,Timing_1(8),2.167,Timing_1,8,150
R_2qwqWlqovi1EnxK,Timing_1(8),5.017,Timing_1,8,150
R_1nSW9rReHHlwpSQ,Timing_1(8),7.339,Timing_1,8,150
R_3FPt6NNv7fs4bHV,Timing_1(8),7.391,Timing_1,8,150
R_2uOs8d5Okoyss7z,Timing_1(8),2.982,Timing_1,8,150
R_1JEdl2aEMuUO63f,Timing_1(8),5.291,Timing_1,8,150
R_6L3ln2BoQAzJw2d,Timing_1(8),2.005,Timing_1,8,150
R_xAA7goWcKMvmb1D,Timing_1(8),4.904,Timing_1,8,150
R_248iCMeSwyLS8sF,Timing_1(8),25.992,Timing_1,8,150
R_OING4tGkg3q8VLb,Timing_1(8),4.572,Timing_1,8,150
R_3kvbwPackXPANmo,Timing_1(8),2.288,Timing_1,8,150
R_3lRiG6M8Z6vKWZh,Timing_1(8),5.301,Timing_1,8,150
R_3q9cZ9NJjEx872v,Timing_1(8),7.374,Timing_1,8,150
R_ABt8n7PxUqkXqy5,Timing_1(8),3.492,Timing_1,8,150
R_3k6rPDoCD4kup7x,Timing_1(8),4.776,Timing_1,8,150
R_p6iBXJstulO97Jn,Timing_1(8),3.34,Timing_1,8,150
R_USFewLQTXHp0kPT,Timing_1(8),0.655,Timing_1,8,150
R_vrAH2qrxu41QSv7,Timing_1(9),15.525,Timing_1,9,151
R_6Pg4ql6MQumxZo9,Timing_1(9),1.446,Timing_1,9,151
R_1QaBlAsk46HI9NJ,Timing_1(9),9.588,Timing_1,9,151
R_pKtuHvEeh5mujgl,Timing_1(9),4.888,Timing_1,9,151
R_RrYmeJDnKB3hv7r,Timing_1(9),10.303,Timing_1,9,151
R_2alPe2ZkILnzWYp,Timing_1(9),7.006,Timing_1,9,151
R_24zMzQY1U9LX5Gf,Timing_1(9),3.156,Timing_1,9,151
R_2zAp7MZjWbJtouD,Timing_1(9),17.262,Timing_1,9,151
R_1lgea30X5yRbWgb,Timing_1(9),10.105,Timing_1,9,151
R_1dg0dAPlymYfFcu,Timing_1(9),3.862,Timing_1,9,151
R_23TSscPxb3G1aSA,Timing_1(9),7.63,Timing_1,9,151
R_3effdDALVVpFhkK,Timing_1(9),9.647,Timing_1,9,151
R_2PpvbvcItA8LcqM,Timing_1(9),8.588,Timing_1,9,151
R_25WvorTEPc7DuHX,Timing_1(9),6.032,Timing_1,9,151
R_ZJCIt5D6m80Wim5,Timing_1(9),10.145,Timing_1,9,151
R_6gQpeEEoAOw1CNz,Timing_1(9),4.936,Timing_1,9,151
R_UcJP3naTdDXJEDn,Timing_1(9),12.462,Timing_1,9,151
R_21pKbw8vqrjpJ4Q,Timing_1(9),7.553,Timing_1,9,151
R_1HiWKvIl546M44z,Timing_1(9),4.769,Timing_1,9,151
R_BFIiDPrnKiKOhkB,Timing_1(9),6.407,Timing_1,9,151
R_232AZeZQOdbRSAK,Timing_1(9),4.078,Timing_1,9,151
R_1odMwWpdALe3A7c,Timing_1(9),5.9,Timing_1,9,151
R_3CMZ1prTdwstnIi,Timing_1(9),2.572,Timing_1,9,151
R_2SDkvNUYWKzQ9b4,Timing_1(9),6.005,Timing_1,9,151
R_2qwqWlqovi1EnxK,Timing_1(9),13.325,Timing_1,9,151
R_1nSW9rReHHlwpSQ,Timing_1(9),13.942,Timing_1,9,151
R_3FPt6NNv7fs4bHV,Timing_1(9),8.59,Timing_1,9,151
R_2uOs8d5Okoyss7z,Timing_1(9),6.162,Timing_1,9,151
R_1JEdl2aEMuUO63f,Timing_1(9),4.185,Timing_1,9,151
R_6L3ln2BoQAzJw2d,Timing_1(9),1.407,Timing_1,9,151
R_xAA7goWcKMvmb1D,Timing_1(9),370.674,Timing_1,9,151
R_248iCMeSwyLS8sF,Timing_1(9),22.524,Timing_1,9,151
R_OING4tGkg3q8VLb,Timing_1(9),1.477,Timing_1,9,151
R_3kvbwPackXPANmo,Timing_1(9),1.999,Timing_1,9,151
R_3lRiG6M8Z6vKWZh,Timing_1(9),7.219,Timing_1,9,151
